All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
320       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:11 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
321       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:12 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
322       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:13 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
323       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:14 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
324       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
325       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:16 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
326       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:17 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
327       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:18 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
328       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:19 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
329       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:20 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
330       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
331       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:22 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
332       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:23 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
333       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:24 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
334       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:25 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
335       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:26 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
336       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:27 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
337       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:28 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
338       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:29 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
339       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:31 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
340       	E   	Motion              	50050   	Position outside reach                  	2017-03-22 05:52:31 	Position for ROB_1 joint 3 is outside working area. Joint 1-6 : Number of the axis which causes the error.Joint 23: Combination of axis 2 and 3 causes the error.	{args: "3", "ROB_1"}
341       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:52:31 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
342       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:52:31 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
343       	W   	Program             	40210   	Interrupt removed from queue            	2017-03-22 05:52:31 	All interrupts have been deleted from the interrupt queue in task SENDER.	{args: "SENDER"}
344       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:52:31 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
345       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:52:31 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
346       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:52:31 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
347       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:52:31 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
348       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:53:06 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
349       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:53:06 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
350       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:53:06 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
351       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:53:06 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
352       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:53:06 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
353       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:53:06 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
354       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:53:07 	A regain movement has started.	{args: "0"}
355       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:53:07 	The regain movement is ready.	{args: "0"}
356       	I   	Operational         	10151   	Program started                         	2017-03-22 05:53:07 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
357       	I   	Operational         	10151   	Program started                         	2017-03-22 05:53:07 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
358       	I   	Operational         	10151   	Program started                         	2017-03-22 05:53:07 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
359       	W   	Program             	41617   	Too intense frequency of Write Instructions	2017-03-22 05:53:26 	A high usage frequency of user interface write instructions, such as TPWrite, has forced the program execution to slow down.	{args: }
